,count,mainCat,neighborhood,year
576,52,assault,Maxwell Park,2010
577,49,assault,Maxwell Park,2011
578,65,assault,Maxwell Park,2012
579,46,assault,Maxwell Park,2013
580,54,assault,Maxwell Park,2014
581,20,assault,Maxwell Park,2015
582,165,assault,McClymonds,2007
583,179,assault,McClymonds,2008
584,89,assault,McClymonds,2009
585,90,assault,McClymonds,2010
586,62,assault,McClymonds,2011
587,86,assault,McClymonds,2012
588,135,assault,McClymonds,2013
589,69,assault,McClymonds,2014
590,30,assault,McClymonds,2015
591,53,assault,Melrose,2007
592,58,assault,Melrose,2008
593,29,assault,Melrose,2009
594,36,assault,Melrose,2010
595,49,assault,Melrose,2011
596,31,assault,Melrose,2012
597,49,assault,Melrose,2013
598,25,assault,Melrose,2014
599,13,assault,Melrose,2015
600,112,assault,Merritt,2007
601,73,assault,Merritt,2008
602,47,assault,Merritt,2009
603,49,assault,Merritt,2010
604,52,assault,Merritt,2011
605,42,assault,Merritt,2012
606,40,assault,Merritt,2013
607,36,assault,Merritt,2014
608,13,assault,Merritt,2015
609,9,assault,Merriwood,2007
610,3,assault,Merriwood,2008
611,9,assault,Merriwood,2009
612,11,assault,Merriwood,2010
613,9,assault,Merriwood,2011
614,12,assault,Merriwood,2012
615,4,assault,Merriwood,2013
616,2,assault,Merriwood,2014
617,2,assault,Merriwood,2015
618,22,assault,Mills College,2007
619,12,assault,Mills College,2008
620,10,assault,Mills College,2009
621,12,assault,Mills College,2010
622,12,assault,Mills College,2011
623,8,assault,Mills College,2012
624,8,assault,Mills College,2013
625,10,assault,Mills College,2014
626,4,assault,Mills College,2015
627,136,assault,Millsmont,2007
628,149,assault,Millsmont,2008
629,64,assault,Millsmont,2009
630,100,assault,Millsmont,2010
631,83,assault,Millsmont,2011
632,108,assault,Millsmont,2012
633,93,assault,Millsmont,2013
634,57,assault,Millsmont,2014
635,37,assault,Millsmont,2015
636,7,assault,Montclair,2007
637,14,assault,Montclair,2008
638,4,assault,Montclair,2009
639,8,assault,Montclair,2010
640,6,assault,Montclair,2011
641,3,assault,Montclair,2012
642,10,assault,Montclair,2013
643,4,assault,Montclair,2014
644,1,assault,Montclair,2015
645,12,assault,Montclair Business,2007
646,5,assault,Montclair Business,2008
647,3,assault,Montclair Business,2009
648,5,assault,Montclair Business,2010
649,3,assault,Montclair Business,2011
650,2,assault,Montclair Business,2012
651,5,assault,Montclair Business,2013
652,1,assault,Montclair Business,2014
653,2,assault,Montclair Business,2015
654,93,assault,Mosswood,2007
655,97,assault,Mosswood,2008
656,37,assault,Mosswood,2009
657,63,assault,Mosswood,2010
658,27,assault,Mosswood,2011
659,41,assault,Mosswood,2012
660,31,assault,Mosswood,2013
661,65,assault,Mosswood,2014
662,24,assault,Mosswood,2015
663,41,assault,North Kennedy Tract,2007
664,59,assault,North Kennedy Tract,2008
665,13,assault,North Kennedy Tract,2009
666,24,assault,North Kennedy Tract,2010
667,27,assault,North Kennedy Tract,2011
668,33,assault,North Kennedy Tract,2012
669,34,assault,North Kennedy Tract,2013
670,24,assault,North Kennedy Tract,2014
671,7,assault,North Kennedy Tract,2015
672,119,assault,North Stonehurst,2007
673,128,assault,North Stonehurst,2008
674,48,assault,North Stonehurst,2009
675,48,assault,North Stonehurst,2010
676,58,assault,North Stonehurst,2011
677,59,assault,North Stonehurst,2012
678,86,assault,North Stonehurst,2013
679,64,assault,North Stonehurst,2014
680,26,assault,North Stonehurst,2015
681,86,assault,Northgate,2007
682,89,assault,Northgate,2008
683,43,assault,Northgate,2009
684,48,assault,Northgate,2010
685,38,assault,Northgate,2011
686,43,assault,Northgate,2012
687,64,assault,Northgate,2013
688,23,assault,Northgate,2014
689,24,assault,Northgate,2015
690,103,assault,Not Named1,2007
691,67,assault,Not Named1,2008
692,51,assault,Not Named1,2009
693,39,assault,Not Named1,2010
694,38,assault,Not Named1,2011
695,47,assault,Not Named1,2012
696,43,assault,Not Named1,2013
697,34,assault,Not Named1,2014
698,24,assault,Not Named1,2015
699,4,assault,Not Named2,2007
700,10,assault,Not Named2,2008
701,3,assault,Not Named2,2009
702,1,assault,Not Named2,2010
703,3,assault,Not Named2,2011
704,2,assault,Not Named2,2012
705,1,assault,Not Named2,2013
706,3,assault,Not Named2,2014
707,2,assault,Not Named2,2015
708,3,assault,Not Named3,2007
709,2,assault,Not Named3,2008
710,5,assault,Not Named3,2011
711,2,assault,Not Named3,2013
712,1,assault,Not Named4,2007
713,4,assault,Not Named5,2007
714,2,assault,Not Named6,2007
715,1,assault,Not Named6,2009
716,1,assault,Not Named6,2010
717,1,assault,Not Named6,2012
718,3,assault,Not Named6,2013
719,1,assault,Not Named6,2014
720,22,assault,Not Named7,2007
721,17,assault,Not Named7,2008
722,9,assault,Not Named7,2009
723,7,assault,Not Named7,2010
724,8,assault,Not Named7,2011
725,10,assault,Not Named7,2012
726,10,assault,Not Named7,2013
727,11,assault,Not Named7,2014
728,2,assault,Not Named7,2015
729,46,assault,Not Named8,2007
730,59,assault,Not Named8,2008
731,36,assault,Not Named8,2009
732,47,assault,Not Named8,2010
733,40,assault,Not Named8,2011
734,44,assault,Not Named8,2012
735,39,assault,Not Named8,2013
736,27,assault,Not Named8,2014
737,18,assault,Not Named8,2015
738,122,assault,Oak Center,2007
739,148,assault,Oak Center,2008
740,65,assault,Oak Center,2009
741,58,assault,Oak Center,2010
742,71,assault,Oak Center,2011
743,69,assault,Oak Center,2012
744,53,assault,Oak Center,2013
745,58,assault,Oak Center,2014
746,40,assault,Oak Center,2015
747,94,assault,Oak Tree,2007
748,112,assault,Oak Tree,2008
749,42,assault,Oak Tree,2009
750,62,assault,Oak Tree,2010
751,55,assault,Oak Tree,2011
752,86,assault,Oak Tree,2012
753,90,assault,Oak Tree,2013
754,64,assault,Oak Tree,2014
755,27,assault,Oak Tree,2015
756,105,assault,Oakland Ave/ Harrison St,2007
757,101,assault,Oakland Ave/ Harrison St,2008
758,43,assault,Oakland Ave/ Harrison St,2009
759,29,assault,Oakland Ave/ Harrison St,2010
760,29,assault,Oakland Ave/ Harrison St,2011
761,44,assault,Oakland Ave/ Harrison St,2012
762,45,assault,Oakland Ave/ Harrison St,2013
763,58,assault,Oakland Ave/ Harrison St,2014
764,24,assault,Oakland Ave/ Harrison St,2015
765,30,assault,Oakmore,2007
766,14,assault,Oakmore,2008
767,7,assault,Oakmore,2009
768,10,assault,Oakmore,2010
769,10,assault,Oakmore,2011
770,9,assault,Oakmore,2012
771,8,assault,Oakmore,2013
772,6,assault,Oakmore,2014
773,2,assault,Oakmore,2015
774,162,assault,Old City/ Produce & Waterfront,2007
775,161,assault,Old City/ Produce & Waterfront,2008
776,80,assault,Old City/ Produce & Waterfront,2009
777,96,assault,Old City/ Produce & Waterfront,2010
778,78,assault,Old City/ Produce & Waterfront,2011
779,121,assault,Old City/ Produce & Waterfront,2012
780,82,assault,Old City/ Produce & Waterfront,2013
781,76,assault,Old City/ Produce & Waterfront,2014
782,56,assault,Old City/ Produce & Waterfront,2015
783,2,assault,Panoramic Hill,2007
784,84,assault,Paradise Park,2007
785,78,assault,Paradise Park,2008
786,36,assault,Paradise Park,2009
787,27,assault,Paradise Park,2010
788,24,assault,Paradise Park,2011
789,47,assault,Paradise Park,2012
790,32,assault,Paradise Park,2013
791,28,assault,Paradise Park,2014
792,7,assault,Paradise Park,2015
793,58,assault,Patten,2007
794,70,assault,Patten,2008
795,26,assault,Patten,2009
796,40,assault,Patten,2010
797,32,assault,Patten,2011
798,47,assault,Patten,2012
799,32,assault,Patten,2013
800,39,assault,Patten,2014
801,19,assault,Patten,2015
802,47,assault,Peralta/ Hacienda,2007
803,41,assault,Peralta/ Hacienda,2008
804,23,assault,Peralta/ Hacienda,2009
805,18,assault,Peralta/ Hacienda,2010
806,14,assault,Peralta/ Hacienda,2011
807,38,assault,Peralta/ Hacienda,2012
